county_code,county_alias,region_detail
341203,颍东区,安徽省阜阳市
410526,滑县,河南省安阳市
150928,察哈尔右翼后旗,内蒙古自治区乌兰察布市
610829,吴堡县,陕西省榆林市
130623,涞水县,河北保定
411327,社旗县,河南省南阳市
532932,鹤庆县,云南省大理白族自治州
532531,绿春县,云南省红河哈尼族彝族自治州
340827,望江县,安徽省安庆市
513333,红原县,四川省阿坝藏族自治州
140927,神池县,山西忻州市
230221,龙江县,黑龙江省齐齐哈尔市
410526,滑县,河南省安阳市
522726,独山县,贵州省黔西南布依族苗族自治州
411722,上蔡县,河南省驻马店市
522323,普安县,贵州省黔西南布依族苗族自治州
632524,兴海县,青海省海南藏族自治州
152224,突泉县,内蒙古自治区兴安盟
360321,莲花县,江西省萍乡市
410324,栾川县,河南省洛阳市
621022,环县,甘肃省庆阳县
430923,安化县,湖南省益阳市
141124,临县,山西吕梁
230623,林甸县,黑龙江省大庆市
513224,松潘县,四川省阿坝藏族自治州
152529,正镶白旗,内蒙古自治区锡林郭勒盟
140429,武乡县,山西长治
632625,久治县,青海省果洛藏族自治州
632723,称多县,青海省玉树藏族自治州
522636,岑巩县,贵州省黔西南布依族苗族自治州
