SgnYear,AreaID,CountyName,PrefLevCity,Province,CountyCode,HighwayLength,PostTelBusinessVolume,FixedPhoneNum,MobileUserNum
2000.0,20407247,叙永县,泸州市,四川省,510524,3596.0,0.49,2.58,0.09
2000.0,20407248,古蔺县,泸州市,四川省,510525,837.0,0.39,1.83,0.12
2000.0,20407266,平武县,绵阳市,四川省,510727,867.0,0.14,0.82,0.07
2000.0,20407344,朝天区,广元市,四川省,510812,495.0,0.02,0.47,0.02
2000.0,20407345,旺苍县,广元市,四川省,510821,1514.0,0.33,2.01,0.26
2000.0,20407346,青川县,广元市,四川省,510822,693.0,0.11,1.0,0.05
2000.0,20407347,剑阁县,广元市,四川省,510823,5243.0,0.48,2.32,0.06
2000.0,20407348,苍溪县,广元市,四川省,510824,1054.0,0.48,2.94,0.11
2000.0,20406694,沐川县,乐山市,四川省,511129,470.0,0.12,1.01,0.03
2000.0,20406696,马边彝族自治县,乐山市,四川省,511133,601.0,0.08,0.8,
2000.0,20406506,嘉陵区,南充市,四川省,511304,1387.0,0.32,1.72,
2000.0,20406507,南部县,南充市,四川省,511321,3370.0,0.73,4.3,0.19
2000.0,20406510,仪陇县,南充市,四川省,511324,773.0,0.32,2.91,0.15
2000.0,20406512,阆中市,南充市,四川省,511381,926.0,0.65,3.9,0.39
2000.0,20406532,屏山县,宜宾市,四川省,511529,380.0,,0.8,0.02
2000.0,20406535,广安区,广安市,四川省,511602,608.0,1.05,4.63,0.34
2000.0,20406544,宣汉县,达州市,四川省,511722,2430.0,0.68,3.44,0.13
2000.0,20406548,万源市,达州市,四川省,511781,1405.0,0.42,2.66,0.1
2000.0,20406561,巴州区,巴中市,四川省,511902,1077.0,0.91,4.65,0.34
2000.0,20407358,通江县,巴中市,四川省,511921,2890.0,0.31,1.93,0.15
2000.0,20407359,南江县,巴中市,四川省,511922,2336.0,0.29,1.98,0.17
2000.0,20407360,平昌县,巴中市,四川省,511923,2188.0,0.38,2.07,0.08
2000.0,20407442,汶川县,阿坝藏族羌族自治州,四川省,513221,1032.0,0.11,0.85,0.06
2000.0,20407443,理县,阿坝藏族羌族自治州,四川省,513222,127.0,0.03,0.28,0.1
2000.0,20407444,茂县,阿坝藏族羌族自治州,四川省,513223,556.0,0.06,0.45,0.09
2000.0,20407445,松潘县,阿坝藏族羌族自治州,四川省,513224,513.0,0.04,0.26,0.03
2000.0,20407446,九寨沟县,阿坝藏族羌族自治州,四川省,513225,425.0,0.09,0.45,0.05
2000.0,20407447,金川县,阿坝藏族羌族自治州,四川省,513226,360.0,0.04,0.2,0.03
2000.0,20407448,小金县,阿坝藏族羌族自治州,四川省,513227,404.0,0.03,0.29,0.01
2000.0,20407449,黑水县,阿坝藏族羌族自治州,四川省,513228,436.0,0.02,0.19,0.03
