行政区划代码,县域名称,所属地域,所属省份,所属城市,摘帽时间,column_6
130631.0,望都县,东部,河北省,保定市,2016.0,
130924.0,海兴县,东部,河北省,沧州市,2016.0,
130927.0,南皮县,东部,河北省,沧州市,2016.0,
130131.0,平山县,东部,河北省,石家庄市,2017.0,
130321.0,青龙满族自治县,东部,河北省,秦皇岛市,2017.0,
130434.0,魏县,东部,河北省,邯郸市,2017.0,
130532.0,平乡县,东部,河北省,邢台市,2017.0,
130533.0,威县,东部,河北省,邢台市,2017.0,
130633.0,易县,东部,河北省,保定市,2017.0,
130881.0,平泉县,东部,河北省,承德市,2017.0,
130925.0,盐山县,东部,河北省,沧州市,2017.0,
131122.0,武邑县,东部,河北省,衡水市,2017.0,
131124.0,饶阳县,东部,河北省,衡水市,2017.0,
131128.0,阜城县,东部,河北省,衡水市,2017.0,
130125.0,行唐县,东部,河北省,石家庄市,2018.0,
130126.0,灵寿县,东部,河北省,石家庄市,2018.0,
130129.0,赞皇县,东部,河北省,石家庄市,2018.0,
130425.0,大名县,东部,河北省,邯郸市,2018.0,
130522.0,临城县,东部,河北省,邢台市,2018.0,
130529.0,巨鹿县,东部,河北省,邢台市,2018.0,
130530.0,新河县,东部,河北省,邢台市,2018.0,
130531.0,广宗县,东部,河北省,邢台市,2018.0,
130623.0,涞水县,东部,河北省,保定市,2018.0,
130627.0,唐县,东部,河北省,保定市,2018.0,
130634.0,曲阳县,东部,河北省,保定市,2018.0,
130636.0,顺平县,东部,河北省,保定市,2018.0,
130705.0,宣化县,东部,河北省,张家口市,2018.0,
130708.0,万全县,东部,河北省,张家口市,2018.0,
130709.0,崇礼县,东部,河北省,张家口市,2018.0,
130821.0,承德县,东部,河北省,承德市,2018.0,
130824.0,滦平县,东部,河北省,承德市,2018.0,
131123.0,武强县,东部,河北省,衡水市,2018.0,
130624.0,阜平县,东部,河北省,保定市,2019.0,
130630.0,涞源县,东部,河北省,保定市,2019.0,
130722.0,张北县,东部,河北省,张家口市,2019.0,
130723.0,康保县,东部,河北省,张家口市,2019.0,
130724.0,沽源县,东部,河北省,张家口市,2019.0,
130725.0,尚义县,东部,河北省,张家口市,2019.0,
130726.0,蔚县,东部,河北省,张家口市,2019.0,
130727.0,阳原县,东部,河北省,张家口市,2019.0,
130728.0,怀安县,东部,河北省,张家口市,2019.0,
130732.0,赤城县,东部,河北省,张家口市,2019.0,
130825.0,隆化县,东部,河北省,承德市,2019.0,
130826.0,丰宁满族自治县,东部,河北省,承德市,2019.0,
130828.0,围场满族蒙古族自治县,东部,河北省,承德市,2019.0,
140623.0,右玉县,中部,山西省,朔州市,2017.0,
141129.0,中阳县,中部,山西省,吕梁市,2017.0,
141028.0,吉县,中部,山西省,临汾市,2017.0,
140123.0,娄烦县,中部,山西省,太原市,2018.0,
140221.0,阳高县,中部,山西省,大同市,2018.0,
140224.0,灵丘县,中部,山西省,大同市,2018.0,
140215.0,大同县,中部,山西省,大同市,2018.0,
140429.0,武乡县,中部,山西省,长治市,2018.0,
140924.0,繁峙县,中部,山西省,忻州市,2018.0,
140927.0,神池县,中部,山西省,忻州市,2018.0,
140928.0,五寨县,中部,山西省,忻州市,2018.0,
140929.0,岢岚县,中部,山西省,忻州市,2018.0,
140930.0,河曲县,中部,山西省,忻州市,2018.0,
140931.0,保德县,中部,山西省,忻州市,2018.0,
141127.0,岚县,中部,山西省,吕梁市,2018.0,
141128.0,方山县,中部,山西省,吕梁市,2018.0,
140722.0,左权县,中部,山西省,晋中市,2018.0,
140723.0,和顺县,中部,山西省,晋中市,2018.0,
141031.0,隰县,中部,山西省,临汾市,2018.0,
140829.0,平陆县,中部,山西省,运城市,2018.0,
140222.0,天镇县,中部,山西省,大同市,2019.0,
140223.0,广灵县,中部,山西省,大同市,2019.0,
140225.0,浑源县,中部,山西省,大同市,2019.0,
140425.0,平顺县,中部,山西省,长治市,2019.0,
140427.0,壶关县,中部,山西省,长治市,2019.0,
140922.0,五台县,中部,山西省,忻州市,2019.0,
140926.0,静乐县,中部,山西省,忻州市,2019.0,
140923.0,代县,中部,山西省,忻州市,2019.0,
140925.0,宁武县,中部,山西省,忻州市,2019.0,
140932.0,偏关县,中部,山西省,忻州市,2019.0,
141123.0,兴县,中部,山西省,吕梁市,2019.0,
141124.0,临县,中部,山西省,吕梁市,2019.0,
141126.0,石楼县,中部,山西省,吕梁市,2019.0,
141030.0,大宁县,中部,山西省,临汾市,2019.0,
141032.0,永和县,中部,山西省,临汾市,2019.0,
141034.0,汾西县,中部,山西省,临汾市,2019.0,
150424.0,林西县,西部,内蒙古自治区,赤峰市,2017.0,
150125.0,武川县,西部,内蒙古自治区,呼和浩特市,2018.0,
150423.0,巴林右旗,西部,内蒙古自治区,赤峰市,2018.0,
150428.0,喀喇沁旗,西部,内蒙古自治区,赤峰市,2018.0,
150429.0,宁城县,西部,内蒙古自治区,赤峰市,2018.0,
152202.0,阿尔山市,西部,内蒙古自治区,兴安盟,2018.0,
152222.0,科尔沁右翼中旗,西部,内蒙古自治区,兴安盟,2018.0,
152223.0,扎赉特旗,西部,内蒙古自治区,兴安盟,2018.0,
150522.0,科尔沁左翼后旗,西部,内蒙古自治区,通辽市,2018.0,
152524.0,苏尼特右旗,西部,内蒙古自治区,锡林郭勒盟,2018.0,
150928.0,察哈尔右翼后旗,西部,内蒙古自治区,乌兰察布市,2018.0,
150421.0,阿鲁科尔沁旗,西部,内蒙古自治区,赤峰市,2019.0,
150422.0,巴林左旗,西部,内蒙古自治区,赤峰市,2019.0,
150426.0,翁牛特旗,西部,内蒙古自治区,赤峰市,2019.0,
150430.0,敖汉旗,西部,内蒙古自治区,赤峰市,2019.0,
150722.0,莫力达瓦达斡尔族自治旗,西部,内蒙古自治区,呼伦贝尔市,2019.0,
150723.0,鄂伦春自治旗,西部,内蒙古自治区,呼伦贝尔市,2019.0,
152221.0,科尔沁右翼前旗,西部,内蒙古自治区,兴安盟,2019.0,
152224.0,突泉县,西部,内蒙古自治区,兴安盟,2019.0,
150521.0,科尔沁左翼中旗,西部,内蒙古自治区,通辽市,2019.0,
150524.0,库伦旗,西部,内蒙古自治区,通辽市,2019.0,
150525.0,奈曼旗,西部,内蒙古自治区,通辽市,2019.0,
152527.0,太仆寺旗,西部,内蒙古自治区,锡林郭勒盟,2019.0,
152529.0,正镶白旗,西部,内蒙古自治区,锡林郭勒盟,2019.0,
150922.0,化德县,西部,内蒙古自治区,乌兰察布市,2019.0,
150923.0,商都县,西部,内蒙古自治区,乌兰察布市,2019.0,
150924.0,兴和县,西部,内蒙古自治区,乌兰察布市,2019.0,
150921.0,卓资县,西部,内蒙古自治区,乌兰察布市,2019.0,
